work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_per_hour,is_remote,is_large_company
2024,3,2,0,296300,9,296300,33,0,32,1,142.45192307692307,0,0
2024,3,2,0,166600,9,166600,33,0,32,1,80.09615384615384,0,0
2024,3,2,0,264200,9,264200,33,0,32,1,127.01923076923077,0,0
2024,3,2,0,143100,9,143100,33,0,32,1,68.79807692307692,0,0
2024,3,2,0,50000,3,55555,22,0,22,1,26.709134615384617,0,0
2024,3,2,0,50000,3,55555,22,0,22,1,26.709134615384617,0,0
2024,3,2,0,297000,9,297000,33,0,32,1,142.78846153846155,0,0
2024,3,2,0,168300,9,168300,33,0,32,1,80.91346153846153,0,0
2024,3,2,0,245400,9,245400,33,0,32,1,117.98076923076923,0,0
2024,3,2,0,139000,9,139000,33,0,32,1,66.82692307692308,0,0
2024,3,2,0,250800,9,250800,33,0,32,1,120.57692307692308,0,0
2024,3,2,0,167200,9,167200,33,0,32,1,80.38461538461539,0,0
2024,3,2,0,300000,9,300000,33,0,32,1,144.23076923076923,0,0
2024,3,2,0,180000,9,180000,33,0,32,1,86.53846153846153,0,0
2024,3,2,0,300000,9,300000,33,0,32,1,144.23076923076923,0,0
2024,3,2,0,180000,9,180000,33,0,32,1,86.53846153846153,0,0
2024,3,2,0,319000,9,319000,33,0,32,1,153.3653846153846,0,0
2024,3,2,0,221000,9,221000,33,0,32,1,106.25,0,0
2024,2,2,0,222000,9,222000,33,0,32,1,106.73076923076923,0,0
2024,2,2,0,125000,9,125000,33,0,32,1,60.09615384615385,0,0
2024,3,2,0,250000,9,250000,33,0,32,1,120.1923076923077,0,0
2024,3,2,0,160000,9,160000,33,0,32,1,76.92307692307692,0,0
2024,3,2,0,355000,9,355000,33,0,32,1,170.67307692307693,0,0
2024,3,2,0,190000,9,190000,33,0,32,1,91.34615384615384,0,0
2024,3,2,0,160000,9,160000,33,0,32,1,76.92307692307692,0,0
2024,3,2,0,100000,9,100000,33,0,32,1,48.07692307692308,0,0
2024,3,2,0,370000,9,370000,33,0,32,1,177.8846153846154,0,0
2024,3,2,0,220000,9,220000,33,0,32,1,105.76923076923077,0,0
2024,3,2,0,270000,9,270000,33,0,32,1,129.80769230769232,0,0
2024,3,2,0,175000,9,175000,33,0,32,1,84.13461538461539,0,0
2024,3,2,0,270000,9,270000,33,0,32,1,129.80769230769232,0,0
2024,3,2,0,235000,9,235000,33,0,32,1,112.98076923076923,0,0
2024,3,2,0,260000,9,260000,33,0,32,1,125.0,0,0
2024,3,2,0,192000,9,192000,33,0,32,1,92.3076923076923,0,0
2024,3,2,0,264200,9,264200,33,0,32,1,127.01923076923077,0,0
2024,3,2,0,143100,9,143100,33,0,32,1,68.79807692307692,0,0
2024,2,2,0,250000,9,250000,33,0,32,1,120.1923076923077,0,0
2024,2,2,0,145000,9,145000,33,0,32,1,69.71153846153847,0,0
2024,2,2,0,237500,9,237500,33,0,32,1,114.1826923076923,0,0
2024,2,2,0,137750,9,137750,33,0,32,1,66.22596153846153,0,0
2024,2,2,0,250000,9,250000,33,0,32,1,120.1923076923077,0,0
2024,2,2,0,145000,9,145000,33,0,32,1,69.71153846153847,0,0
2024,2,2,0,250600,9,250600,33,0,32,1,120.48076923076923,0,0
2024,2,2,0,166600,9,166600,33,0,32,1,80.09615384615384,0,0
2024,2,2,0,264200,9,264200,33,0,32,1,127.01923076923077,0,0
2024,2,2,0,143100,9,143100,33,0,32,1,68.79807692307692,0,0
2024,0,2,0,177000,9,177000,33,0,32,1,85.09615384615384,0,0
2024,0,2,0,116000,9,116000,33,0,32,1,55.76923076923077,0,0
2024,3,2,0,113000,9,113000,33,0,32,1,54.32692307692308,0,0
2024,3,2,0,113000,9,113000,33,0,32,1,54.32692307692308,0,0
2024,3,2,0,280000,9,280000,33,0,32,1,134.6153846153846,0,0
2024,3,2,0,201500,9,201500,33,0,32,1,96.875,0,0
2024,0,2,0,170000,9,170000,33,0,32,1,81.73076923076923,0,0
2024,0,2,0,150000,9,150000,33,0,32,1,72.11538461538461,0,0
2024,3,2,0,268000,9,268000,33,100,32,1,128.84615384615384,1,0
2024,3,2,0,205000,9,205000,33,100,32,1,98.5576923076923,1,0
2024,3,2,0,330000,9,330000,33,0,32,1,158.65384615384616,0,0
2024,3,2,0,270000,9,270000,33,0,32,1,129.80769230769232,0,0
2024,3,2,0,280000,9,280000,33,0,32,1,134.6153846153846,0,0
2024,3,2,0,180200,9,180200,33,0,32,1,86.63461538461539,0,0
2024,2,2,0,280000,9,280000,33,0,32,1,134.6153846153846,0,0
2024,2,2,0,230000,9,230000,33,0,32,1,110.57692307692308,0,0
2024,3,2,0,283800,9,283800,33,0,32,1,136.44230769230768,0,0
2024,3,2,0,234700,9,234700,33,0,32,1,112.83653846153847,0,0
2024,3,2,0,284400,9,284400,33,0,32,1,136.73076923076923,0,0
2024,3,2,0,150700,9,150700,33,0,32,1,72.45192307692308,0,0
2024,0,2,0,170000,9,170000,33,0,32,1,81.73076923076923,0,0
2024,0,2,0,150000,9,150000,33,0,32,1,72.11538461538461,0,0
2024,3,2,0,190000,9,190000,33,0,32,1,91.34615384615384,0,0
2024,3,2,0,120000,9,120000,33,0,32,1,57.69230769230769,0,0
2024,3,2,0,292128,9,292128,33,100,32,1,140.44615384615383,1,0
2024,3,2,0,141990,9,141990,33,100,32,1,68.26442307692308,1,0
2024,3,2,0,175000,9,175000,33,100,32,1,84.13461538461539,1,0
2024,3,2,0,150000,9,150000,33,100,32,1,72.11538461538461,1,0
2024,3,2,0,295000,9,295000,33,0,32,1,141.82692307692307,0,0
2024,3,2,0,128000,9,128000,33,0,32,1,61.53846153846154,0,0
2024,2,2,0,214500,9,214500,33,0,32,1,103.125,0,0
2024,2,2,0,143100,9,143100,33,0,32,1,68.79807692307692,0,0
2024,2,2,0,172000,9,172000,33,0,32,1,82.6923076923077,0,0
2024,2,2,0,75600,9,75600,33,0,32,1,36.34615384615385,0,0
2024,3,2,0,339250,9,339250,33,0,32,1,163.10096153846155,0,0
2024,3,2,0,180000,9,180000,33,0,32,1,86.53846153846153,0,0
2024,3,2,0,303400,9,303400,33,100,32,1,145.8653846153846,1,0
2024,3,2,0,216700,9,216700,33,100,32,1,104.1826923076923,1,0
2024,3,2,0,322000,9,322000,33,100,32,1,154.80769230769232,1,0
2024,3,2,0,230000,9,230000,33,100,32,1,110.57692307692308,1,0
2024,3,2,0,257000,9,257000,33,0,32,1,123.5576923076923,0,0
2024,3,2,0,129000,9,129000,33,0,32,1,62.01923076923077,0,0
2024,3,2,0,140000,9,140000,33,0,32,1,67.3076923076923,0,0
2024,3,2,0,140000,9,140000,33,0,32,1,67.3076923076923,0,0
2024,3,2,0,234300,9,234300,33,0,32,1,112.64423076923077,0,0
2024,3,2,0,96900,9,96900,33,0,32,1,46.58653846153846,0,0
2024,3,2,0,87610,4,109512,15,0,15,1,52.65,0,0
2024,3,2,0,78849,4,98561,15,0,15,1,47.385096153846156,0,0
2024,3,2,0,337300,9,337300,33,0,32,1,162.16346153846155,0,0
2024,3,2,0,192700,9,192700,33,0,32,1,92.64423076923077,0,0
2024,3,2,0,185000,9,185000,33,0,32,1,88.9423076923077,0,0
2024,3,2,0,122000,9,122000,33,0,32,1,58.65384615384615,0,0
2024,3,2,0,295000,9,295000,33,100,32,1,141.82692307692307,1,0
2024,3,2,0,221000,9,221000,33,100,32,1,106.25,1,0
2024,3,2,0,187000,9,187000,7,100,7,1,89.90384615384616,1,0
2024,3,2,0,124000,9,124000,7,100,7,1,59.61538461538461,1,0
2024,3,2,0,239000,9,239000,33,100,32,1,114.90384615384616,1,0
2024,3,2,0,148000,9,148000,33,100,32,1,71.15384615384616,1,0
2024,2,2,0,165000,9,165000,33,0,32,1,79.32692307692308,0,0
2024,2,2,0,120000,9,120000,33,0,32,1,57.69230769230769,0,0
2024,2,2,0,110000,9,110000,33,0,32,1,52.88461538461539,0,0
2024,2,2,0,80000,9,80000,33,0,32,1,38.46153846153846,0,0
2024,3,2,0,235000,9,235000,3,0,3,1,112.98076923076923,0,0
2024,3,2,0,190000,9,190000,3,0,3,1,91.34615384615384,0,0
2024,3,2,0,195540,9,195540,33,0,32,1,94.00961538461539,0,0
2024,3,2,0,136878,9,136878,33,0,32,1,65.80673076923077,0,0
2024,3,2,0,355000,9,355000,33,0,32,1,170.67307692307693,0,0
2024,3,2,0,194000,9,194000,33,0,32,1,93.26923076923077,0,0
2024,3,2,0,355000,9,355000,33,0,32,1,170.67307692307693,0,0
2024,3,2,0,194000,9,194000,33,0,32,1,93.26923076923077,0,0
2024,0,2,0,194750,9,194750,33,0,32,1,93.6298076923077,0,0
2024,0,2,0,129200,9,129200,33,0,32,1,62.11538461538461,0,0
